longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;housing_median_age_nan;longitude_outlier;latitude_outlier;population_per_room;<1H OCEAN;INLAND;ISLAND;NEAR BAY;NEAR OCEAN
-122.23;37.88;41.0;880.0;129.0;322.0;126.0;8.3252;452600.0;0;0;0;0.3659090909090909;0;0;0;1;0
-122.22;37.86;21.0;7099.0;1106.0;2401.0;1138.0;8.3014;358500.0;0;0;0;0.3382166502324271;0;0;0;1;0
-122.24;37.85;52.0;1467.0;190.0;496.0;177.0;7.2574;352100.0;0;0;0;0.338104976141786;0;0;0;1;0
-122.25;37.85;52.0;1274.0;235.0;558.0;219.0;5.6431;341300.0;0;0;0;0.4379905808477237;0;0;0;1;0
-122.25;37.85;52.0;1627.0;280.0;565.0;259.0;3.8462;342200.0;0;0;0;0.34726490473263677;0;0;0;1;0
-122.25;37.85;52.0;919.0;213.0;413.0;193.0;4.0368;269700.0;0;0;0;0.44940152339499456;0;0;0;1;0
-122.25;37.84;52.0;2535.0;489.0;1094.0;514.0;3.6591;299200.0;0;0;0;0.43155818540433927;0;0;0;1;0
-122.25;37.84;52.0;3104.0;687.0;1157.0;647.0;3.12;241400.0;0;0;0;0.37274484536082475;0;0;0;1;0
-122.26;37.84;42.0;2555.0;665.0;1206.0;595.0;2.0804;226700.0;0;0;0;0.4720156555772994;0;0;0;1;0
-122.25;37.84;52.0;3549.0;707.0;1551.0;714.0;3.6912;261100.0;0;0;0;0.4370245139475909;0;0;0;1;0
-122.26;37.85;52.0;2202.0;434.0;910.0;402.0;3.2031;281500.0;0;0;0;0.41326067211625794;0;0;0;1;0
-122.26;37.85;52.0;3503.0;752.0;1504.0;734.0;3.2705;241800.0;0;0;0;0.4293462746217528;0;0;0;1;0
-122.26;37.85;52.0;2491.0;474.0;1098.0;468.0;3.075;213500.0;0;0;0;0.44078683259735046;0;0;0;1;0
-122.26;37.84;52.0;696.0;191.0;345.0;174.0;2.6736;191300.0;0;0;0;0.4956896551724138;0;0;0;1;0
-122.26;37.85;52.0;2643.0;626.0;1212.0;620.0;1.9167;159200.0;0;0;0;0.4585698070374574;0;0;0;1;0
-122.26;37.85;50.0;1120.0;283.0;697.0;264.0;2.125;140000.0;0;0;0;0.6223214285714286;0;0;0;1;0
-122.27;37.85;52.0;1966.0;347.0;793.0;331.0;2.775;152500.0;0;0;0;0.40335707019328587;0;0;0;1;0
-122.27;37.85;52.0;1228.0;293.0;648.0;303.0;2.1202;155500.0;0;0;0;0.5276872964169381;0;0;0;1;0
-122.26;37.84;50.0;2239.0;455.0;990.0;419.0;1.9911;158700.0;0;0;0;0.4421616793211255;0;0;0;1;0
-122.27;37.84;52.0;1503.0;298.0;690.0;275.0;2.6033;162900.0;0;0;0;0.4590818363273453;0;0;0;1;0
-122.27;37.85;40.0;751.0;184.0;409.0;166.0;1.3578;147500.0;0;0;0;0.5446071904127829;0;0;0;1;0
-122.27;37.85;42.0;1639.0;367.0;929.0;366.0;1.7135;159800.0;0;0;0;0.5668090298962782;0;0;0;1;0
-122.27;37.84;52.0;2436.0;541.0;1015.0;478.0;1.725;113900.0;0;0;0;0.4166666666666667;0;0;0;1;0
-122.27;37.84;52.0;1688.0;337.0;853.0;325.0;2.1806;99700.0;0;0;0;0.5053317535545023;0;0;0;1;0
-122.27;37.84;52.0;2224.0;437.0;1006.0;422.0;2.6;132600.0;0;0;0;0.4523381294964029;0;0;0;1;0
-122.28;37.85;29.0;535.0;123.0;317.0;119.0;2.4038;107500.0;1;0;0;0.5925233644859813;0;0;0;1;0
-122.28;37.85;49.0;1130.0;244.0;607.0;239.0;2.4597;93800.0;0;0;0;0.5371681415929204;0;0;0;1;0
-122.28;37.85;52.0;1898.0;421.0;1102.0;397.0;1.808;105500.0;0;0;0;0.5806111696522656;0;0;0;1;0
